dataset,branch_length,pi.a,pi.c,pi.g,pi.t,sigma.ac,sigma.ag,sigma.at,sigma.cg,sigma.ct,sigma.gt,omega,rho.phase0,rho.phase1,rho.phase2,avg_gap_length
ATGC056,1.51960637113117,0.260672999901783,0.218387827985245,0.252520631731334,0.268418540381638,1.32512402369071,2.27427753939712,0.557619140164423,1.20222420255189,1.94262276241686,0.821280681783377,0.0423688145424543,6.679488318066923e-4,3.89168873971871e-4,4.808330277547556e-4,13.4335483574225
ATGC058,1.03225838769086,0.338007097830671,0.150717758703347,0.196590451216713,0.314684692249269,1.50556103290214,2.4833526475136,0.691283649862395,1.06866862017172,2.38582479214659,0.645538023308979,0.0551632941113723,7.586884667462737e-4,4.4003727671141995e-4,4.736337982161463e-4,11.3509746002804
ATGC069,0.98481087716114,0.219371015785946,0.286679321212984,0.269753199521054,0.224196463480017,1.28217727205657,1.97521306982299,1.14954300186709,0.927456941041893,1.75523718636142,1.01535694175226,0.0642844524839752,0.001938112504290882,0.0011502580207493978,0.001465426160977827,13.9756509685803
ATGC071,0.559708851453604,0.177020814047043,0.337001475206904,0.322115756139972,0.16386195460608,0.920267671916352,2.15359067014815,1.04429874048383,1.23681643707365,2.26220971987139,0.621875450992148,0.0842375118419284,0.0028794901028667756,0.0017642962972642755,0.0023554546891014615,13.1579089576206
ATGC073,0.714908688047963,0.170035175141982,0.33535249050659,0.32885102073986,0.165761313611568,1.05413990705425,2.15460775285398,1.20672774608041,1.28490447837175,1.91606046327382,0.682254175214917,0.0914609192390356,0.003445284613789895,0.0023018148868638477,0.00284288850763303,14.3116470286506
ATGC075,0.742230116678967,0.196978638811684,0.302405447822898,0.304879849080176,0.195736064285241,1.09902152487696,2.04386368756155,0.965445657742236,1.02380453122917,2.15469253427368,0.882010867573093,0.0743263582045826,0.0017241979442930023,9.94632303669584e-4,0.0013009318612024919,13.6468760853817
ATGC078,0.613884106834078,0.190460032656928,0.317997382114836,0.311884483646509,0.179658101581727,0.941259729973665,2.03122997307304,0.991697702708823,1.20968883436457,2.31472260083786,0.645750451493905,0.0802658067327857,0.0024413141914600422,0.001545107257953909,0.0018157897106866798,12.7663149657718
ATGC095,0.945333532499454,0.288646954679461,0.171285728353794,0.265037400448335,0.27502991651841,0.74891907504033,2.95673066823718,0.53565653525964,0.649023389824843,2.62878871699121,0.56177469217107,0.093178804234819,9.011471214192574e-4,5.309386951485618e-4,5.937317772435019e-4,11.2277969287372
ATGC099,0.954864945470089,0.213689899185891,0.266222034230306,0.299073756247801,0.221014310336001,1.33193332996201,1.9127736802479,0.968730777495785,1.1436354567641,2.07135253201237,0.655073709339545,0.0726425214270955,0.0020056037221340512,0.001217795942942314,0.0015448601401253249,13.5470249809904
ATGC110,1.13302329133903,0.283231651537953,0.211126170793544,0.238374839837763,0.26726733783074,1.20878157955524,2.03879560307776,0.89705787003818,1.10373577556571,1.97460376279853,0.866314558107242,0.0462420179674561,7.40009802483129e-4,4.5510915096858115e-4,6.139975050030704e-4,13.2982896664682
