species,name,value,n,f
ATGC143,type_f0,1,580049,1
ATGC143,type_f0,2,0,0
ATGC143,type_f1,1,237316,0.40913095272985556
ATGC143,type_f1,2,342733,0.5908690472701444
ATGC143,type_f2,1,411812,0.709960710215861
ATGC143,type_f2,2,168237,0.29003928978413895
ATGC145,type_f0,1,544648,1
ATGC145,type_f0,2,0,0
ATGC145,type_f1,1,236385,0.43401426242270236
ATGC145,type_f1,2,308263,0.5659857375772976
ATGC145,type_f2,1,397093,0.7290819024397409
ATGC145,type_f2,2,147555,0.2709180975602591
ATGC146,type_f0,1,897882,1
ATGC146,type_f0,2,0,0
ATGC146,type_f1,1,395550,0.4405367297707271
ATGC146,type_f1,2,502332,0.5594632702292729
ATGC146,type_f2,1,691581,0.770235955281429
ATGC146,type_f2,2,206301,0.22976404471857104
ATGC152,type_f0,1,422445,1
ATGC152,type_f0,2,0,0
ATGC152,type_f1,1,181740,0.4302098498029329
ATGC152,type_f1,2,240705,0.569790150197067
ATGC152,type_f2,1,323957,0.7668619583614436
ATGC152,type_f2,2,98488,0.2331380416385565
ATGC155,type_f0,1,303572,1
ATGC155,type_f0,2,0,0
ATGC155,type_f1,1,137813,0.45397138075975385
ATGC155,type_f1,2,165759,0.5460286192402461
ATGC155,type_f2,1,229631,0.7564301055433308
ATGC155,type_f2,2,73941,0.24356989445666927
ATGC159,type_f0,1,673783,1
ATGC159,type_f0,2,0,0
ATGC159,type_f1,1,304232,0.45152816262802714
ATGC159,type_f1,2,369551,0.5484718373719729
ATGC159,type_f2,1,559637,0.8305893737301179
ATGC159,type_f2,2,114146,0.16941062626988215
ATGC169,type_f0,1,719826,1
ATGC169,type_f0,2,0,0
ATGC169,type_f1,1,318549,0.4425361128939494
ATGC169,type_f1,2,401277,0.5574638871060507
ATGC169,type_f2,1,598019,0.8307827169343702
ATGC169,type_f2,2,121807,0.16921728306562975
ATGC171,type_f0,1,497387,1
ATGC171,type_f0,2,0,0
ATGC171,type_f1,1,217855,0.437998982683504
ATGC171,type_f1,2,279532,0.562001017316496
ATGC171,type_f2,1,372270,0.7484514070532603
ATGC171,type_f2,2,125117,0.25154859294673965
ATGC173,type_f0,1,1200869,1
ATGC173,type_f0,2,0,0
ATGC173,type_f1,1,533633,0.4443723670108896
ATGC173,type_f1,2,667236,0.5556276329891103
ATGC173,type_f2,1,993582,0.8273858347579961
ATGC173,type_f2,2,207287,0.1726141652420039
ATGC178,type_f0,1,837109,1
ATGC178,type_f0,2,0,0
ATGC178,type_f1,1,359474,0.42942316950361303
ATGC178,type_f1,2,477635,0.570576830496387
ATGC178,type_f2,1,618078,0.7383482915605972
ATGC178,type_f2,2,219031,0.2616517084394028
ATGC181,type_f0,1,753492,1
ATGC181,type_f0,2,0,0
ATGC181,type_f1,1,328408,0.43584802492926267
ATGC181,type_f1,2,425084,0.5641519750707373
ATGC181,type_f2,1,556861,0.7390403614106056
ATGC181,type_f2,2,196631,0.26095963858939447
ATGC182,type_f0,1,860310,1
ATGC182,type_f0,2,0,0
ATGC182,type_f1,1,375328,0.4362706466273785
ATGC182,type_f1,2,484982,0.5637293533726215
ATGC182,type_f2,1,636190,0.7394892538736036
ATGC182,type_f2,2,224120,0.2605107461263963
ATGC186,type_f0,1,943287,1
ATGC186,type_f0,2,0,0
ATGC186,type_f1,1,395849,0.4196485269064452
ATGC186,type_f1,2,547438,0.5803514730935547
ATGC186,type_f2,1,711169,0.7539264296020193
ATGC186,type_f2,2,232118,0.24607357039798067
ATGC188,type_f0,1,1217914,1
ATGC188,type_f0,2,0,0
ATGC188,type_f1,1,538431,0.44209279144504454
ATGC188,type_f1,2,679483,0.5579072085549555
ATGC188,type_f2,1,999733,0.8208568092656788
ATGC188,type_f2,2,218181,0.17914319073432114
ATGC192,type_f0,1,565923,1
ATGC192,type_f0,2,0,0
ATGC192,type_f1,1,238142,0.42080283006698793
ATGC192,type_f1,2,327781,0.5791971699330121
ATGC192,type_f2,1,436210,0.7707939065915328
ATGC192,type_f2,2,129713,0.22920609340846723
ATGC201,type_f0,1,255849,1
ATGC201,type_f0,2,0,0
ATGC201,type_f1,1,107619,0.4206348275740769
ATGC201,type_f1,2,148230,0.5793651724259231
ATGC201,type_f2,1,200440,0.7834308517914864
ATGC201,type_f2,2,55409,0.2165691482085136
ATGC202,type_f0,1,665117,1
ATGC202,type_f0,2,0,0
ATGC202,type_f1,1,292483,0.4397466911836564
ATGC202,type_f1,2,372634,0.5602533088163436
ATGC202,type_f2,1,513719,0.77237388309124555
ATGC202,type_f2,2,151398,0.2276261169087544
ATGC223,type_f0,1,215308,1
ATGC223,type_f0,2,0,0
ATGC223,type_f1,1,97250,0.45167852564698013
ATGC223,type_f1,2,118058,0.5483214743530198
ATGC223,type_f2,1,160364,0.7448120831552938
ATGC223,type_f2,2,54944,0.2551879168447062
ATGC232,type_f0,1,1460332,1
ATGC232,type_f0,2,0,0
ATGC232,type_f1,1,631348,0.4323318259135594
ATGC232,type_f1,2,828984,0.5676681740864407
ATGC232,type_f2,1,1186116,0.8122235217745006
ATGC232,type_f2,2,274216,0.1877764782254994
ATGC235,type_f0,1,1054318,1
ATGC235,type_f0,2,0,0
ATGC235,type_f1,1,435360,0.4129304441354506
ATGC235,type_f1,2,618958,0.5870695558645495
ATGC235,type_f2,1,800133,0.7589104994887691
ATGC235,type_f2,2,254185,0.24108950051123096
ATGC239,type_f0,1,1255210,1
ATGC239,type_f0,2,0,0
ATGC239,type_f1,1,551252,0.43917113471052655
ATGC239,type_f1,2,703958,0.5608288652894735
ATGC239,type_f2,1,1029185,0.8199305295528239
ATGC239,type_f2,2,226025,0.18006947044717617
ATGC242,type_f0,1,1164279,1
ATGC242,type_f0,2,0,0
ATGC242,type_f1,1,498709,0.4283414885950876
ATGC242,type_f1,2,665570,0.5716585114049124
ATGC242,type_f2,1,926247,0.795554158410484
ATGC242,type_f2,2,238032,0.20444584158951593
ATGC243,type_f0,1,1267844,1
ATGC243,type_f0,2,0,0
ATGC243,type_f1,1,542766,0.42810156454579584
ATGC243,type_f1,2,725078,0.5718984354542042
ATGC243,type_f2,1,1002282,0.7905404765886024
ATGC243,type_f2,2,265562,0.20945952341139762
ATGC244,type_f0,1,621460,1
ATGC244,type_f0,2,0,0
ATGC244,type_f1,1,263016,0.42322273356290024
ATGC244,type_f1,2,358444,0.5767772664370997
ATGC244,type_f2,1,481639,0.7750120683551637
ATGC244,type_f2,2,139821,0.22498793164483635
ATGC246,type_f0,1,342681,1
ATGC246,type_f0,2,0,0
ATGC246,type_f1,1,145725,0.42524972204470046
ATGC246,type_f1,2,196956,0.5747502779552995
ATGC246,type_f2,1,266186,0.7767749014389476
ATGC246,type_f2,2,76495,0.2232250985610524
ATGC258,type_f0,1,933129,1
ATGC258,type_f0,2,0,0
ATGC258,type_f1,1,408897,0.4381998630414444
ATGC258,type_f1,2,524232,0.5618001369585556
ATGC258,type_f2,1,697328,0.747300748342405
ATGC258,type_f2,2,235801,0.25269925165759505
ATGC260,type_f0,1,764540,1
ATGC260,type_f0,2,0,0
ATGC260,type_f1,1,335716,0.4391084835325817
ATGC260,type_f1,2,428824,0.5608915164674183
ATGC260,type_f2,1,540774,0.7073194339079708
ATGC260,type_f2,2,223766,0.2926805660920292
ATGC277,type_f0,1,928826,1
ATGC277,type_f0,2,0,0
ATGC277,type_f1,1,420941,0.45319683126871985
ATGC277,type_f1,2,507885,0.5468031687312801
ATGC277,type_f2,1,763046,0.8215166242116392
ATGC277,type_f2,2,165780,0.1784833757883608
ATGC279,type_f0,1,440879,1
ATGC279,type_f0,2,0,0
ATGC279,type_f1,1,191143,0.43354979484166856
ATGC279,type_f1,2,249736,0.5664502051583314
ATGC279,type_f2,1,329055,0.7463612465098134
ATGC279,type_f2,2,111824,0.25363875349018666
ATGC301,type_f0,1,1372309,1
ATGC301,type_f0,2,0,0
ATGC301,type_f1,1,597636,0.4354966702105721
ATGC301,type_f1,2,774673,0.5645033297894279
ATGC301,type_f2,1,1114521,0.8121501790048743
ATGC301,type_f2,2,257788,0.18784982099512573
ATGC309,type_f0,1,602003,1
ATGC309,type_f0,2,0,0
ATGC309,type_f1,1,251875,0.4183949249422345
ATGC309,type_f1,2,350128,0.5816050750577655
ATGC309,type_f2,1,427379,0.7099283558387582
ATGC309,type_f2,2,174624,0.2900716441612417
ATGC330,type_f0,1,1185718,1
ATGC330,type_f0,2,0,0
ATGC330,type_f1,1,530722,0.44759546536360245
ATGC330,type_f1,2,654996,0.5524045346363975
ATGC330,type_f2,1,975039,0.8223194722522555
ATGC330,type_f2,2,210679,0.1776805277477444
ATGC332,type_f0,1,946421,1
ATGC332,type_f0,2,0,0
ATGC332,type_f1,1,438998,0.46385065420146004
ATGC332,type_f1,2,507423,0.53614934579854
ATGC332,type_f2,1,799516,0.8447783808685564
ATGC332,type_f2,2,146905,0.1552216191314436
ATGC339,type_f0,1,669933,1
ATGC339,type_f0,2,0,0
ATGC339,type_f1,1,289850,0.4326552058190894
ATGC339,type_f1,2,380083,0.5673447941809107
ATGC339,type_f2,1,543868,0.8118244660286924
ATGC339,type_f2,2,126065,0.18817553397130757
ATGC341,type_f0,1,477768,1
ATGC341,type_f0,2,0,0
ATGC341,type_f1,1,204943,0.4289592438170828
ATGC341,type_f1,2,272825,0.5710407561829173
ATGC341,type_f2,1,383190,0.8020419952780429
ATGC341,type_f2,2,94578,0.1979580047219571
ATGC352,type_f0,1,1314190,1
ATGC352,type_f0,2,0,0
ATGC352,type_f1,1,595999,0.4535105273971039
